# file...... wh_1.csv
# date...... Sat Jul  3 15:07:05 2021
# user...... midrar
# host...... (null)
# target.... waterheater 21
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,height,tank_setpoint,waterheater_model,power.real,constant_power,constant_current,water_demand,temperature,is_waterheater_on
2020-01-02 09:15:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.716,+1
2020-01-02 09:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.436,+0
2020-01-02 09:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.815,+0
2020-01-02 09:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.201,+0
2020-01-02 09:35:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.651,+1
2020-01-02 09:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.453,+0
2020-01-02 09:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.832,+0
2020-01-02 09:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.217,+0
2020-01-02 09:55:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.586,+1
2020-01-02 10:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.469,+0
2020-01-02 10:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.848,+0
2020-01-02 10:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.234,+0
2020-01-02 10:15:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.52,+1
2020-01-02 10:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.486,+0
2020-01-02 10:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.865,+0
2020-01-02 10:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.25,+0
2020-01-02 10:35:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.455,+1
2020-01-02 10:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.503,+0
2020-01-02 10:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.881,+0
2020-01-02 10:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.266,+0
2020-01-02 10:55:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.39,+1
2020-01-02 11:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.529,+0
2020-01-02 11:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.908,+0
2020-01-02 11:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.292,+0
2020-01-02 11:15:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.284,+1
2020-01-02 11:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.556,+0
2020-01-02 11:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.934,+0
2020-01-02 11:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.319,+0
2020-01-02 11:35:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.178,+1
2020-01-02 11:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.583,+0
2020-01-02 11:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.961,+0
2020-01-02 11:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.345,+0
2020-01-02 11:55:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.071,+1
2020-01-02 12:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.61,+0
2020-01-02 12:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.987,+0
2020-01-02 12:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.371,+0
2020-01-02 12:15:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.965,+1
2020-01-02 12:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.636,+0
2020-01-02 12:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.014,+0
2020-01-02 12:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.397,+0
2020-01-02 12:35:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.859,+1
2020-01-02 12:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.663,+0
2020-01-02 12:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.04,+0
2020-01-02 12:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.424,+0
2020-01-02 12:55:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.762,+1
2020-01-02 13:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.68,+0
2020-01-02 13:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.057,+0
2020-01-02 13:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.44,+0
2020-01-02 13:15:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.697,+1
2020-01-02 13:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.697,+0
2020-01-02 13:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.073,+0
2020-01-02 13:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.456,+0
2020-01-02 13:35:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.632,+1
2020-01-02 13:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.723,+0
2020-01-02 13:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.099,+0
2020-01-02 13:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.482,+0
2020-01-02 13:55:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.525,+1
2020-01-02 14:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.75,+0
2020-01-02 14:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.126,+0
2020-01-02 14:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.508,+0
2020-01-02 14:15:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.418,+1
2020-01-02 14:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.777,+0
2020-01-02 14:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.153,+0
2020-01-02 14:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.535,+0
2020-01-02 14:35:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.312,+1
2020-01-02 14:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.804,+0
2020-01-02 14:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.179,+0
2020-01-02 14:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.561,+0
2020-01-02 14:55:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.205,+1
2020-01-02 15:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.831,+0
2020-01-02 15:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.206,+0
2020-01-02 15:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.587,+0
2020-01-02 15:15:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.108,+1
2020-01-02 15:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.847,+0
2020-01-02 15:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.222,+0
2020-01-02 15:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.604,+0
2020-01-02 15:35:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+118.043,+1
2020-01-02 15:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.874,+0
2020-01-02 15:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.249,+0
2020-01-02 15:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.63,+0
2020-01-02 15:55:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.018,+0
2020-01-02 16:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.901,+0
2020-01-02 16:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.275,+0
2020-01-02 16:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.656,+0
2020-01-02 16:15:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.043,+0
2020-01-02 16:20:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.928,+0
2020-01-02 16:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.302,+0
2020-01-02 16:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.682,+0
2020-01-02 16:35:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.069,+0
2020-01-02 16:40:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.955,+0
2020-01-02 16:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.328,+0
2020-01-02 16:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.709,+0
2020-01-02 16:55:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.096,+0
2020-01-02 17:00:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.981,+0
2020-01-02 17:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.355,+0
2020-01-02 17:10:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.735,+0
2020-01-02 17:15:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.122,+0
2020-01-02 17:20:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.967,+1
2020-01-02 17:25:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.381,+0
2020-01-02 17:30:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.761,+0
2020-01-02 17:35:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.148,+0
2020-01-02 17:40:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.861,+1
2020-01-02 17:45:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.408,+0
2020-01-02 17:50:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.787,+0
2020-01-02 17:55:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+118.174,+0
2020-01-02 18:00:00 UTC,+3.782,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0.1,+119.755,+1
2020-01-02 18:05:00 UTC,+3.782,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.1,+119.435,+0
